ACC5348211349343409167UIC, to_acc: ACC2090641754408034750UIC, transfer: 300.0, new_balance: 996200.0, time: 14-05-2025 Wednesday 04:35 AM
ACC5348211349343409167UIC,996200.0,deposit,996400.0,14-05-2025 Wednesday 04 37 AM
ACC5348211349343409167UIC,996400.0,withdrawel,996100.0,14-05-2025 Wednesday 04 37 AM
ACC5348211349343409167UIC,996100.0,withdrawel,946100.0,14-05-2025 Wednesday 04 50 AM
ACC2090641754408034750UIC,1003000.0,withdrawel,1001000.0,14-05-2025 Wednesday 05 00 AM
ACC5348211349343409167UIC,946100.0,withdrawel,945900.0,14-05-2025 Wednesday 05 05 AM
ACC5348211349343409167UIC,945900.0,withdrawel,945700.0,14-05-2025 Wednesday 05 10 AM
ACC5348211349343409167UIC,945700.0,withdrawel,945500.0,14-05-2025 Wednesday 05 12 AM
ACC5348211349343409167UIC,945500.0,withdrawel,945300.0,14-05-2025 Wednesday 05 16 AM
ACC5348211349343409167UIC,945300.0,withdrawel,945100.0,14-05-2025 Wednesday 05 18 AM
ACC5348211349343409167UIC,945100.0,withdrawel,944900.0,14-05-2025 Wednesday 05 19 AM
